competition;season;home_score;away_score;round;
Top 14;2005-2006;12;26;J1;
Top 14;2005-2006;16;28;J1;
Top 14;2005-2006;34;9;J1;
Top 14;2005-2006;10;20;J1;
Top 14;2005-2006;16;34;J1;
Top 14;2005-2006;15;10;J1;
Top 14;2005-2006;26;20;J1;
Top 14;2005-2006;29;8;J2;
Top 14;2005-2006;52;9;J2;
Top 14;2005-2006;29;23;J2;
Top 14;2005-2006;19;13;J2;
Top 14;2005-2006;37;9;J2;
Top 14;2005-2006;36;6;J2;
Top 14;2005-2006;31;3;J2;
Top 14;2005-2006;29;25;J3;
Top 14;2005-2006;34;28;J3;
Top 14;2005-2006;9;16;J3;
Top 14;2005-2006;19;19;J3;
Top 14;2005-2006;19;19;J3;
Top 14;2005-2006;18;29;J3;
Top 14;2005-2006;16;12;J3;
Top 14;2005-2006;16;12;J4;
Top 14;2005-2006;37;24;J4;
Top 14;2005-2006;43;5;J4;
Top 14;2005-2006;44;16;J4;
Top 14;2005-2006;64;12;J4;
Top 14;2005-2006;18;23;J4;
Top 14;2005-2006;64;22;J4;
Top 14;2005-2006;15;18;J5;
Top 14;2005-2006;34;10;J5;
Top 14;2005-2006;40;16;J5;
Top 14;2005-2006;40;16;J5;
Top 14;2005-2006;15;29;J5;
Top 14;2005-2006;34;25;J5;
Top 14;2005-2006;7;14;J5;
Top 14;2005-2006;30;22;J6;
Top 14;2005-2006;13;19;J6;
Top 14;2005-2006;47;21;J6;
Top 14;2005-2006;25;17;J6;
Top 14;2005-2006;40;21;J6;
Top 14;2005-2006;21;12;J6;
Top 14;2005-2006;37;24;J6;
Top 14;2005-2006;25;10;J7;
Top 14;2005-2006;19;14;J7;
Top 14;2005-2006;26;19;J7;
Top 14;2005-2006;27;3;J7;
Top 14;2005-2006;18;14;J7;
Top 14;2005-2006;9;0;J7;
Top 14;2005-2006;16;33;J7;
Top 14;2005-2006;23;12;J8;
Top 14;2005-2006;48;14;J8;
Top 14;2005-2006;36;13;J8;
Top 14;2005-2006;26;20;J8;
Top 14;2005-2006;33;6;J8;
Top 14;2005-2006;31;28;J8;
Top 14;2005-2006;15;33;J8;
Top 14;2005-2006;29;10;J9;
Top 14;2005-2006;40;14;J9;
Top 14;2005-2006;26;12;J9;
Top 14;2005-2006;41;8;J9;
Top 14;2005-2006;29;15;J9;
Top 14;2005-2006;12;10;J9;
Top 14;2005-2006;8;3;J9;
Top 14;2005-2006;29;24;J10;
Top 14;2005-2006;26;23;J10;
Top 14;2005-2006;10;9;J10;
Top 14;2005-2006;29;16;J10;
Top 14;2005-2006;29;16;J10;
Top 14;2005-2006;15;11;J10;
Top 14;2005-2006;37;19;J10;
Top 14;2005-2006;28;22;J11;
Top 14;2005-2006;41;10;J11;
Top 14;2005-2006;33;16;J11;
Top 14;2005-2006;21;16;J11;
Top 14;2005-2006;27;19;J11;
Top 14;2005-2006;33;0;J11;
Top 14;2005-2006;29;16;J11;
Top 14;2005-2006;22;11;J12;
Top 14;2005-2006;9;32;J12;
Top 14;2005-2006;18;21;J12;
Top 14;2005-2006;27;25;J12;
Top 14;2005-2006;11;34;J12;
Top 14;2005-2006;10;9;J12;
Top 14;2005-2006;12;25;J12;
Top 14;2005-2006;29;19;J13;
Top 14;2005-2006;66;8;J13;
Top 14;2005-2006;45;13;J13;
Top 14;2005-2006;59;10;J13;
Top 14;2005-2006;37;15;J13;
Top 14;2005-2006;24;6;J13;
Top 14;2005-2006;30;0;J13;
Top 14;2005-2006;36;24;J14;
Top 14;2005-2006;19;14;J14;
Top 14;2005-2006;27;13;J14;
Top 14;2005-2006;52;28;J14;
Top 14;2005-2006;13;19;J14;
Top 14;2005-2006;33;14;J14;
Top 14;2005-2006;57;12;J14;
Top 14;2005-2006;11;24;J15;
Top 14;2005-2006;13;27;J15;
Top 14;2005-2006;3;17;J15;
Top 14;2005-2006;3;17;J15;
Top 14;2005-2006;22;33;J15;
Top 14;2005-2006;41;10;J15;
Top 14;2005-2006;18;16;J15;
Top 14;2005-2006;17;9;J16;
Top 14;2005-2006;17;9;J16;
Top 14;2005-2006;30;9;J16;
Top 14;2005-2006;52;13;J16;
Top 14;2005-2006;23;16;J16;
Top 14;2005-2006;43;11;J16;
Top 14;2005-2006;17;11;J16;
Top 14;2005-2006;14;36;J17;
Top 14;2005-2006;8;15;J17;
Top 14;2005-2006;33;20;J17;
Top 14;2005-2006;27;19;J17;
Top 14;2005-2006;34;3;J17;
Top 14;2005-2006;21;18;J17;
Top 14;2005-2006;12;8;J17;
Top 14;2005-2006;15;20;J18;
Top 14;2005-2006;35;13;J18;
Top 14;2005-2006;19;26;J18;
Top 14;2005-2006;21;16;J18;
Top 14;2005-2006;53;0;J18;
Top 14;2005-2006;16;15;J18;
Top 14;2005-2006;44;14;J18;
Top 14;2005-2006;22;28;J19;
Top 14;2005-2006;42;3;J19;
Top 14;2005-2006;18;14;J19;
Top 14;2005-2006;27;15;J19;
Top 14;2005-2006;15;13;J19;
Top 14;2005-2006;13;15;J19;
Top 14;2005-2006;13;15;J19;
Top 14;2005-2006;19;7;J20;
Top 14;2005-2006;10;11;J20;
Top 14;2005-2006;6;16;J20;
Top 14;2005-2006;15;18;J20;
Top 14;2005-2006;43;16;J20;
Top 14;2005-2006;43;16;J20;
Top 14;2005-2006;28;24;J20;
Top 14;2005-2006;28;15;J21;
Top 14;2005-2006;24;20;J21;
Top 14;2005-2006;54;13;J21;
Top 14;2005-2006;16;20;J21;
Top 14;2005-2006;29;20;J21;
Top 14;2005-2006;23;18;J21;
Top 14;2005-2006;19;15;J21;
Top 14;2005-2006;36;22;J22;
Top 14;2005-2006;28;26;J22;
Top 14;2005-2006;17;25;J22;
Top 14;2005-2006;15;12;J22;
Top 14;2005-2006;15;0;J22;
Top 14;2005-2006;32;22;J22;
Top 14;2005-2006;65;0;J22;
Top 14;2005-2006;33;7;J23;
Top 14;2005-2006;24;44;J23;
Top 14;2005-2006;22;11;J23;
Top 14;2005-2006;53;7;J23;
Top 14;2005-2006;42;20;J23;
Top 14;2005-2006;29;14;J23;
Top 14;2005-2006;33;9;J23;
Top 14;2005-2006;23;24;J24;
Top 14;2005-2006;26;11;J24;
Top 14;2005-2006;26;20;J24;
Top 14;2005-2006;28;11;J24;
Top 14;2005-2006;44;19;J24;
Top 14;2005-2006;13;20;J24;
Top 14;2005-2006;25;13;J24;
Top 14;2005-2006;57;7;J25;
Top 14;2005-2006;30;23;J25;
Top 14;2005-2006;42;26;J25;
Top 14;2005-2006;22;10;J25;
Top 14;2005-2006;58;24;J25;
Top 14;2005-2006;37;27;J25;
Top 14;2005-2006;52;0;J25;
Top 14;2005-2006;12;37;J26;
Top 14;2005-2006;25;27;J26;
Top 14;2005-2006;24;43;J26;
Top 14;2005-2006;12;34;J26;
Top 14;2005-2006;19;24;J26;
Top 14;2005-2006;14;42;J26;
Top 14;2005-2006;21;50;J26;
Top 14;2005-2006;12;9;Semi;
Top 14;2005-2006;9;12;Semi;
Top 14;2005-2006;40;13;Finale;
Top 14;2006-2007;29;24;J1;
Top 14;2006-2007;9;24;J1;
Top 14;2006-2007;18;6;J1;
Top 14;2006-2007;20;16;J1;
Top 14;2006-2007;41;20;J1;
Top 14;2006-2007;24;12;J1;
Top 14;2006-2007;52;20;J1;
Top 14;2006-2007;26;7;J2;
Top 14;2006-2007;16;26;J2;
Top 14;2006-2007;23;0;J2;
Top 14;2006-2007;9;20;J2;
Top 14;2006-2007;25;12;J2;
Top 14;2006-2007;25;18;J2;
Top 14;2006-2007;42;17;J2;
Top 14;2006-2007;19;24;J3;
Top 14;2006-2007;45;13;J3;
Top 14;2006-2007;22;16;J3;
Top 14;2006-2007;21;18;J3;
Top 14;2006-2007;54;0;J3;
Top 14;2006-2007;40;6;J3;
Top 14;2006-2007;20;17;J3;
Top 14;2006-2007;35;22;J4;
Top 14;2006-2007;9;20;J4;
Top 14;2006-2007;24;33;J4;
Top 14;2006-2007;55;7;J4;
Top 14;2006-2007;20;3;J4;
Top 14;2006-2007;31;26;J4;
Top 14;2006-2007;6;3;J4;
Top 14;2006-2007;12;6;J5;
Top 14;2006-2007;48;29;J5;
Top 14;2006-2007;33;10;J5;
Top 14;2006-2007;13;9;J5;
Top 14;2006-2007;30;17;J5;
Top 14;2006-2007;32;3;J5;
Top 14;2006-2007;21;20;J5;
Top 14;2006-2007;22;3;J6;
Top 14;2006-2007;25;20;J6;
Top 14;2006-2007;39;17;J6;
Top 14;2006-2007;14;21;J6;
Top 14;2006-2007;12;16;J6;
Top 14;2006-2007;20;3;J6;
Top 14;2006-2007;12;10;J6;
Top 14;2006-2007;9;9;J7;
Top 14;2006-2007;43;0;J7;
Top 14;2006-2007;39;15;J7;
Top 14;2006-2007;41;27;J7;
Top 14;2006-2007;24;13;J7;
Top 14;2006-2007;13;9;J7;
Top 14;2006-2007;20;6;J7;
Top 14;2006-2007;20;6;J8;
Top 14;2006-2007;24;13;J8;
Top 14;2006-2007;6;21;J8;
Top 14;2006-2007;16;7;J8;
Top 14;2006-2007;35;3;J8;
Top 14;2006-2007;33;18;J8;
Top 14;2006-2007;19;13;J8;
Top 14;2006-2007;18;16;J9;
Top 14;2006-2007;25;12;J9;
Top 14;2006-2007;25;12;J9;
Top 14;2006-2007;25;12;J9;
Top 14;2006-2007;46;9;J9;
Top 14;2006-2007;20;18;J9;
Top 14;2006-2007;13;18;J9;
Top 14;2006-2007;15;9;J10;
Top 14;2006-2007;22;28;J10;
Top 14;2006-2007;22;15;J10;
Top 14;2006-2007;15;9;J10;
Top 14;2006-2007;40;34;J10;
Top 14;2006-2007;19;15;J10;
Top 14;2006-2007;25;10;J10;
Top 14;2006-2007;6;13;J11;
Top 14;2006-2007;44;3;J11;
Top 14;2006-2007;16;19;J11;
Top 14;2006-2007;19;17;J11;
Top 14;2006-2007;9;20;J11;
Top 14;2006-2007;20;23;J11;
Top 14;2006-2007;22;16;J11;
Top 14;2006-2007;6;27;J12;
Top 14;2006-2007;39;10;J12;
Top 14;2006-2007;15;15;J12;
Top 14;2006-2007;44;11;J12;
Top 14;2006-2007;23;21;J12;
Top 14;2006-2007;24;16;J12;
Top 14;2006-2007;11;10;J12;
Top 14;2006-2007;25;15;J13;
Top 14;2006-2007;50;12;J13;
Top 14;2006-2007;27;16;J13;
Top 14;2006-2007;12;16;J13;
Top 14;2006-2007;29;6;J13;
Top 14;2006-2007;31;8;J13;
Top 14;2006-2007;12;15;J13;
Top 14;2006-2007;25;13;J14;
Top 14;2006-2007;15;9;J14;
Top 14;2006-2007;37;33;J14;
Top 14;2006-2007;25;17;J14;
Top 14;2006-2007;26;29;J14;
Top 14;2006-2007;31;18;J14;
Top 14;2006-2007;19;13;J14;
Top 14;2006-2007;43;18;J15;
Top 14;2006-2007;13;13;J15;
Top 14;2006-2007;17;18;J15;
Top 14;2006-2007;28;3;J15;
Top 14;2006-2007;32;15;J15;
Top 14;2006-2007;42;14;J15;
Top 14;2006-2007;42;14;J15;
Top 14;2006-2007;11;15;J16;
Top 14;2006-2007;36;11;J16;
Top 14;2006-2007;15;19;J16;
Top 14;2006-2007;29;17;J16;
Top 14;2006-2007;30;21;J16;
Top 14;2006-2007;19;13;J16;
Top 14;2006-2007;51;13;J16;
Top 14;2006-2007;20;9;J17;
Top 14;2006-2007;36;30;J17;
Top 14;2006-2007;41;0;J17;
Top 14;2006-2007;41;0;J17;
Top 14;2006-2007;16;21;J17;
Top 14;2006-2007;26;17;J17;
Top 14;2006-2007;19;3;J17;
Top 14;2006-2007;9;0;J18;
Top 14;2006-2007;29;27;J18;
Top 14;2006-2007;32;9;J18;
Top 14;2006-2007;30;23;J18;
Top 14;2006-2007;16;12;J18;
Top 14;2006-2007;16;6;J18;
Top 14;2006-2007;11;16;J18;
Top 14;2006-2007;39;17;J19;
Top 14;2006-2007;16;9;J19;
Top 14;2006-2007;62;14;J19;
Top 14;2006-2007;15;6;J19;
Top 14;2006-2007;22;20;J19;
Top 14;2006-2007;22;18;J19;
Top 14;2006-2007;15;19;J19;
Top 14;2006-2007;10;23;J20;
Top 14;2006-2007;28;10;J20;
Top 14;2006-2007;19;12;J20;
Top 14;2006-2007;19;19;J20;
Top 14;2006-2007;22;22;J20;
Top 14;2006-2007;26;29;J20;
Top 14;2006-2007;22;12;J20;
Top 14;2006-2007;19;7;J21;
Top 14;2006-2007;61;24;J21;
Top 14;2006-2007;61;24;J21;
Top 14;2006-2007;20;3;J21;
Top 14;2006-2007;19;35;J21;
Top 14;2006-2007;19;26;J21;
Top 14;2006-2007;9;9;J21;
Top 14;2006-2007;17;7;J22;
Top 14;2006-2007;24;7;J22;
Top 14;2006-2007;25;16;J22;
Top 14;2006-2007;16;8;J22;
Top 14;2006-2007;16;21;J22;
Top 14;2006-2007;32;19;J22;
Top 14;2006-2007;12;29;J22;
Top 14;2006-2007;10;41;J23;
Top 14;2006-2007;23;14;J23;
Top 14;2006-2007;17;15;J23;
Top 14;2006-2007;40;9;J23;
Top 14;2006-2007;24;17;J23;
Top 14;2006-2007;16;16;J23;
Top 14;2006-2007;15;23;J23;
Top 14;2006-2007;31;18;J24;
Top 14;2006-2007;28;22;J24;
Top 14;2006-2007;19;12;J24;
Top 14;2006-2007;13;12;J24;
Top 14;2006-2007;47;28;J24;
Top 14;2006-2007;44;11;J24;
Top 14;2006-2007;22;13;J24;
Top 14;2006-2007;47;0;J25;
Top 14;2006-2007;73;6;J25;
Top 14;2006-2007;25;13;J25;
Top 14;2006-2007;39;25;J25;
Top 14;2006-2007;21;42;J25;
Top 14;2006-2007;18;11;J25;
Top 14;2006-2007;12;11;J25;
Top 14;2006-2007;20;21;J26;
Top 14;2006-2007;29;0;J26;
Top 14;2006-2007;19;21;J26;
Top 14;2006-2007;29;17;J26;
Top 14;2006-2007;6;9;J26;
Top 14;2006-2007;5;18;J26;
Top 14;2006-2007;14;9;J26;
Top 14;2006-2007;18;6;Semi;
Top 14;2006-2007;20;15;Semi;
Top 14;2006-2007;23;18;Finale;
Top 14;2007-2008;10;15;J1;
Top 14;2007-2008;23;17;J1;
Top 14;2007-2008;21;22;J1;
Top 14;2007-2008;15;15;J1;
Top 14;2007-2008;10;8;J1;
Top 14;2007-2008;25;12;J1;
Top 14;2007-2008;19;12;J1;
Top 14;2007-2008;7;12;J2;
Top 14;2007-2008;33;20;J2;
Top 14;2007-2008;16;18;J2;
Top 14;2007-2008;28;9;J2;
Top 14;2007-2008;21;16;J2;
Top 14;2007-2008;15;12;J2;
Top 14;2007-2008;27;0;J2;
Top 14;2007-2008;46;6;J3;
Top 14;2007-2008;6;18;J3;
Top 14;2007-2008;25;9;J3;
Top 14;2007-2008;3;3;J3;
Top 14;2007-2008;16;6;J3;
Top 14;2007-2008;6;12;J3;
Top 14;2007-2008;43;13;J3;
Top 14;2007-2008;22;19;J4;
Top 14;2007-2008;10;14;J4;
Top 14;2007-2008;0;16;J4;
Top 14;2007-2008;6;9;J4;
Top 14;2007-2008;33;12;J4;
Top 14;2007-2008;14;20;J4;
Top 14;2007-2008;19;13;J4;
Top 14;2007-2008;11;17;J5;
Top 14;2007-2008;21;17;J5;
Top 14;2007-2008;32;17;J5;
Top 14;2007-2008;19;27;J5;
Top 14;2007-2008;19;14;J5;
Top 14;2007-2008;24;16;J5;
Top 14;2007-2008;35;8;J5;
Top 14;2007-2008;10;8;J6;
Top 14;2007-2008;15;10;J6;
Top 14;2007-2008;24;17;J6;
Top 14;2007-2008;26;6;J6;
Top 14;2007-2008;23;19;J6;
Top 14;2007-2008;33;6;J6;
Top 14;2007-2008;44;23;J6;
Top 14;2007-2008;3;34;J7;
Top 14;2007-2008;16;31;J7;
Top 14;2007-2008;15;14;J7;
Top 14;2007-2008;21;8;J7;
Top 14;2007-2008;12;11;J7;
Top 14;2007-2008;25;6;J7;
Top 14;2007-2008;37;13;J7;
Top 14;2007-2008;23;3;J8;
Top 14;2007-2008;15;14;J8;
Top 14;2007-2008;35;13;J8;
Top 14;2007-2008;26;13;J8;
Top 14;2007-2008;25;10;J8;
Top 14;2007-2008;18;23;J8;
Top 14;2007-2008;12;9;J8;
Top 14;2007-2008;36;7;J9;
Top 14;2007-2008;14;19;J9;
Top 14;2007-2008;12;16;J9;
Top 14;2007-2008;18;17;J9;
Top 14;2007-2008;23;17;J9;
Top 14;2007-2008;13;7;J9;
Top 14;2007-2008;37;17;J9;
Top 14;2007-2008;14;18;J10;
Top 14;2007-2008;41;15;J10;
Top 14;2007-2008;8;17;J10;
Top 14;2007-2008;15;12;J10;
Top 14;2007-2008;33;8;J10;
Top 14;2007-2008;25;18;J10;
Top 14;2007-2008;9;11;J10;
Top 14;2007-2008;16;47;J11;
Top 14;2007-2008;40;13;J11;
Top 14;2007-2008;31;13;J11;
Top 14;2007-2008;18;13;J11;
Top 14;2007-2008;51;3;J11;
Top 14;2007-2008;28;23;J11;
Top 14;2007-2008;35;15;J11;
Top 14;2007-2008;14;6;J12;
Top 14;2007-2008;10;10;J12;
Top 14;2007-2008;27;3;J12;
Top 14;2007-2008;20;30;J12;
Top 14;2007-2008;9;6;J12;
Top 14;2007-2008;30;23;J12;
Top 14;2007-2008;6;33;J12;
Top 14;2007-2008;26;19;J13;
Top 14;2007-2008;10;25;J13;
Top 14;2007-2008;15;25;J13;
Top 14;2007-2008;22;40;J13;
Top 14;2007-2008;29;13;J13;
Top 14;2007-2008;29;24;J13;
Top 14;2007-2008;12;23;J13;
Top 14;2007-2008;13;8;J14;
Top 14;2007-2008;15;36;J14;
Top 14;2007-2008;20;18;J14;
Top 14;2007-2008;58;5;J14;
Top 14;2007-2008;27;6;J14;
Top 14;2007-2008;16;11;J14;
Top 14;2007-2008;50;12;J14;
Top 14;2007-2008;10;0;J15;
Top 14;2007-2008;11;6;J15;
Top 14;2007-2008;14;56;J15;
Top 14;2007-2008;36;0;J15;
Top 14;2007-2008;45;7;J15;
Top 14;2007-2008;21;7;J15;
Top 14;2007-2008;29;0;J15;
Top 14;2007-2008;12;6;J16;
Top 14;2007-2008;14;34;J16;
Top 14;2007-2008;12;17;J16;
Top 14;2007-2008;52;17;J16;
Top 14;2007-2008;16;10;J16;
Top 14;2007-2008;14;7;J16;
Top 14;2007-2008;9;10;J16;
Top 14;2007-2008;9;13;J17;
Top 14;2007-2008;20;0;J17;
Top 14;2007-2008;36;7;J17;
Top 14;2007-2008;13;20;J17;
Top 14;2007-2008;20;14;J17;
Top 14;2007-2008;30;19;J17;
Top 14;2007-2008;20;18;J17;
Top 14;2007-2008;12;14;J18;
Top 14;2007-2008;11;23;J18;
Top 14;2007-2008;25;12;J18;
Top 14;2007-2008;30;0;J18;
Top 14;2007-2008;38;13;J18;
Top 14;2007-2008;26;3;J18;
Top 14;2007-2008;25;18;J18;
Top 14;2007-2008;9;12;J19;
Top 14;2007-2008;15;36;J19;
Top 14;2007-2008;19;19;J19;
Top 14;2007-2008;12;9;J19;
Top 14;2007-2008;19;13;J19;
Top 14;2007-2008;7;16;J19;
Top 14;2007-2008;28;35;J20;
Top 14;2007-2008;73;12;J20;
Top 14;2007-2008;34;20;J20;
Top 14;2007-2008;21;18;J20;
Top 14;2007-2008;19;16;J20;
Top 14;2007-2008;20;16;J20;
Top 14;2007-2008;16;3;J20;
Top 14;2007-2008;11;16;J21;
Top 14;2007-2008;43;20;J21;
Top 14;2007-2008;19;23;J21;
Top 14;2007-2008;50;14;J21;
Top 14;2007-2008;28;22;J21;
Top 14;2007-2008;41;10;J21;
Top 14;2007-2008;17;15;J21;
Top 14;2007-2008;11;3;J22;
Top 14;2007-2008;17;12;J22;
Top 14;2007-2008;12;6;J22;
Top 14;2007-2008;29;15;J22;
Top 14;2007-2008;29;0;J22;
Top 14;2007-2008;27;16;J22;
Top 14;2007-2008;28;6;J22;
Top 14;2007-2008;20;0;J23;
Top 14;2007-2008;9;6;J23;
Top 14;2007-2008;38;16;J23;
Top 14;2007-2008;38;7;J23;
Top 14;2007-2008;15;12;J23;
Top 14;2007-2008;18;13;J23;
Top 14;2007-2008;13;25;J24;
Top 14;2007-2008;15;12;J24;
Top 14;2007-2008;18;16;J24;
Top 14;2007-2008;30;10;J24;
Top 14;2007-2008;16;36;J24;
Top 14;2007-2008;44;15;J24;
Top 14;2007-2008;13;6;J24;
Top 14;2007-2008;12;8;J25;
Top 14;2007-2008;22;18;J25;
Top 14;2007-2008;40;26;J25;
Top 14;2007-2008;57;17;J25;
Top 14;2007-2008;36;8;J25;
Top 14;2007-2008;20;16;J25;
Top 14;2007-2008;10;21;J25;
Top 14;2007-2008;35;28;J26;
Top 14;2007-2008;22;19;J26;
Top 14;2007-2008;23;19;J26;
Top 14;2007-2008;30;34;J26;
Top 14;2007-2008;95;7;J26;
Top 14;2007-2008;24;17;J26;
Top 14;2007-2008;13;23;J26;
Top 14;2007-2008;21;7;Semi;
Top 14;2007-2008;31;13;Semi;
Top 14;2007-2008;20;26;Finale;
Top 14;2008-2009;9;31;J1;
Top 14;2008-2009;26;27;J1;
Top 14;2008-2009;29;22;J1;
Top 14;2008-2009;16;11;J1;
Top 14;2008-2009;37;19;J1;
Top 14;2008-2009;34;18;J1;
Top 14;2008-2009;22;16;J1;
Top 14;2008-2009;43;20;J2;
Top 14;2008-2009;3;3;J2;
Top 14;2008-2009;32;25;J2;
Top 14;2008-2009;27;22;J2;
Top 14;2008-2009;22;20;J2;
Top 14;2008-2009;32;17;J2;
Top 14;2008-2009;16;22;J2;
Top 14;2008-2009;17;6;J3;
Top 14;2008-2009;18;14;J3;
Top 14;2008-2009;6;9;J3;
Top 14;2008-2009;16;16;J3;
Top 14;2008-2009;11;26;J3;
Top 14;2008-2009;25;18;J3;
Top 14;2008-2009;20;6;J3;
Top 14;2008-2009;13;19;J4;
Top 14;2008-2009;38;10;J4;
Top 14;2008-2009;11;19;J4;
Top 14;2008-2009;18;6;J4;
Top 14;2008-2009;32;10;J4;
Top 14;2008-2009;16;6;J4;
Top 14;2008-2009;24;5;J4;
Top 14;2008-2009;30;18;J5;
Top 14;2008-2009;15;9;J5;
Top 14;2008-2009;19;15;J5;
Top 14;2008-2009;37;16;J5;
Top 14;2008-2009;12;6;J5;
Top 14;2008-2009;10;41;J5;
Top 14;2008-2009;3;5;J5;
Top 14;2008-2009;25;32;J6;
Top 14;2008-2009;24;23;J6;
Top 14;2008-2009;32;6;J6;
Top 14;2008-2009;16;22;J6;
Top 14;2008-2009;41;9;J6;
Top 14;2008-2009;30;20;J6;
Top 14;2008-2009;19;15;J6;
Top 14;2008-2009;10;28;J7;
Top 14;2008-2009;37;12;J7;
Top 14;2008-2009;53;11;J7;
Top 14;2008-2009;34;16;J7;
Top 14;2008-2009;46;3;J7;
Top 14;2008-2009;23;30;J7;
Top 14;2008-2009;27;17;J7;
Top 14;2008-2009;6;33;J8;
Top 14;2008-2009;25;30;J8;
Top 14;2008-2009;17;6;J8;
Top 14;2008-2009;12;19;J8;
Top 14;2008-2009;14;9;J8;
Top 14;2008-2009;13;26;J8;
Top 14;2008-2009;17;21;J8;
Top 14;2008-2009;42;20;J9;
Top 14;2008-2009;7;31;J9;
Top 14;2008-2009;26;31;J9;
Top 14;2008-2009;21;15;J9;
Top 14;2008-2009;32;10;J9;
Top 14;2008-2009;22;6;J9;
Top 14;2008-2009;12;14;J9;
Top 14;2008-2009;26;13;J10;
Top 14;2008-2009;26;6;J10;
Top 14;2008-2009;9;13;J10;
Top 14;2008-2009;20;20;J10;
Top 14;2008-2009;19;18;J10;
Top 14;2008-2009;18;16;J10;
Top 14;2008-2009;27;12;J10;
Top 14;2008-2009;12;18;J11;
Top 14;2008-2009;19;12;J11;
Top 14;2008-2009;42;9;J11;
Top 14;2008-2009;12;6;J11;
Top 14;2008-2009;33;28;J11;
Top 14;2008-2009;10;5;J11;
Top 14;2008-2009;29;9;J11;
Top 14;2008-2009;32;11;J12;
Top 14;2008-2009;9;23;J12;
Top 14;2008-2009;12;11;J12;
Top 14;2008-2009;6;13;J12;
Top 14;2008-2009;6;9;J12;
Top 14;2008-2009;13;32;J12;
Top 14;2008-2009;9;22;J12;
Top 14;2008-2009;16;20;J13;
Top 14;2008-2009;33;8;J13;
Top 14;2008-2009;16;9;J13;
Top 14;2008-2009;27;6;J13;
Top 14;2008-2009;20;12;J13;
Top 14;2008-2009;35;8;J13;
Top 14;2008-2009;19;12;J13;
Top 14;2008-2009;13;13;J14;
Top 14;2008-2009;56;15;J14;
Top 14;2008-2009;32;5;J14;
Top 14;2008-2009;16;13;J14;
Top 14;2008-2009;15;14;J14;
Top 14;2008-2009;34;0;J14;
Top 14;2008-2009;15;18;J14;
Top 14;2008-2009;9;25;J15;
Top 14;2008-2009;40;14;J15;
Top 14;2008-2009;9;10;J15;
Top 14;2008-2009;6;13;J15;
Top 14;2008-2009;15;13;J15;
Top 14;2008-2009;3;30;J15;
Top 14;2008-2009;19;9;J15;
Top 14;2008-2009;38;22;J16;
Top 14;2008-2009;17;13;J16;
Top 14;2008-2009;23;14;J16;
Top 14;2008-2009;11;11;J16;
Top 14;2008-2009;44;10;J16;
Top 14;2008-2009;25;15;J16;
Top 14;2008-2009;13;13;J16;
Top 14;2008-2009;22;12;J17;
Top 14;2008-2009;16;32;J17;
Top 14;2008-2009;16;16;J17;
Top 14;2008-2009;19;15;J17;
Top 14;2008-2009;27;19;J17;
Top 14;2008-2009;19;13;J17;
Top 14;2008-2009;20;13;J17;
Top 14;2008-2009;12;23;J18;
Top 14;2008-2009;26;11;J18;
Top 14;2008-2009;43;20;J18;
Top 14;2008-2009;50;13;J18;
Top 14;2008-2009;30;37;J18;
Top 14;2008-2009;44;13;J18;
Top 14;2008-2009;9;6;J18;
Top 14;2008-2009;32;8;J19;
Top 14;2008-2009;31;19;J19;
Top 14;2008-2009;15;17;J19;
Top 14;2008-2009;53;3;J19;
Top 14;2008-2009;33;6;J19;
Top 14;2008-2009;18;14;J19;
Top 14;2008-2009;3;3;J19;
Top 14;2008-2009;22;16;J20;
Top 14;2008-2009;26;11;J20;
Top 14;2008-2009;29;32;J20;
Top 14;2008-2009;57;23;J20;
Top 14;2008-2009;14;9;J20;
Top 14;2008-2009;16;18;J20;
Top 14;2008-2009;12;9;J20;
Top 14;2008-2009;25;9;J21;
Top 14;2008-2009;19;19;J21;
Top 14;2008-2009;13;16;J21;
Top 14;2008-2009;22;3;J21;
Top 14;2008-2009;37;7;J21;
Top 14;2008-2009;13;6;J21;
Top 14;2008-2009;15;11;J21;
Top 14;2008-2009;43;6;J22;
Top 14;2008-2009;33;20;J22;
Top 14;2008-2009;21;23;J22;
Top 14;2008-2009;44;3;J22;
Top 14;2008-2009;10;42;J22;
Top 14;2008-2009;19;21;J22;
Top 14;2008-2009;15;19;J22;
Top 14;2008-2009;12;10;J23;
Top 14;2008-2009;21;15;J23;
Top 14;2008-2009;24;15;J23;
Top 14;2008-2009;61;10;J23;
Top 14;2008-2009;52;7;J23;
Top 14;2008-2009;14;6;J23;
Top 14;2008-2009;15;20;J23;
Top 14;2008-2009;16;21;J24;
Top 14;2008-2009;15;10;J24;
Top 14;2008-2009;20;11;J24;
Top 14;2008-2009;19;12;J24;
Top 14;2008-2009;13;6;J24;
Top 14;2008-2009;20;16;J24;
Top 14;2008-2009;12;8;J24;
Top 14;2008-2009;12;22;J25;
Top 14;2008-2009;19;9;J25;
Top 14;2008-2009;31;23;J25;
Top 14;2008-2009;66;3;J25;
Top 14;2008-2009;28;18;J25;
Top 14;2008-2009;9;12;J25;
Top 14;2008-2009;12;16;J25;
Top 14;2008-2009;26;32;J26;
Top 14;2008-2009;31;27;J26;
Top 14;2008-2009;38;10;J26;
Top 14;2008-2009;75;3;J26;
Top 14;2008-2009;8;60;J26;
Top 14;2008-2009;23;3;J26;
Top 14;2008-2009;19;19;J26;
